Kahoot;;;;
Final Scores;;;;
Rank;Player;Total Score (points);Correct Answers;Incorrect Answers
1;PARTICIPANT1;9405;10;0
2;PARTICIPANT2;8973;10;0
3;PARTICIPANT3;8851;10;0
4;PARTICIPANT4;8849;10;0
5;PARTICIPANT5;7619;9;1
6;PARTICIPANT6;7340;9;1
7;PARTICIPANT7;7285;9;1
8;PARTICIPANT8;7225;9;1
9;PARTICIPANT9;6978;10;0
10;PARTICIPANT10;6909;8;2
11;PARTICIPANT11;6863;9;1
12;PARTICIPANT12;6462;9;1
13;PARTICIPANT13;6436;7;3
14;PARTICIPANT14;6238;9;1
15;PARTICIPANT15;5617;7;3
16;PARTICIPANT16;5382;8;2
17;PARTICIPANT17;5284;6;4
18;PARTICIPANT18;4110;5;5
